	Este fichero es el que lee SdC (exportado a tsv con File -> Download as -> Tab-separated values y renombrado como contents.tsv).							
								
	Cualquier fila con la primera casilla vacía es ignorada por el programa. Para comentarios y demás.							
	En una fila con contenido, la primera casilla es para la pregunta, 3 para las respuestas, 3 para sus comentarios y 1 para la imagen asociada.							
	Si sólo la primera casilla está llena, indica el comienzo de una nueva categoría.							
								
	Borrador de preguntas:	https://docs.google.com/spreadsheets/d/1h3KgxQoQhvGUW2ph2jCXoCwTmlB7LuenmH0La0JTmjU/edit#gid=0						
								
	Para buscar imágenes se puede usar la búsqueda avanzada de imágenes de google con "aspect ratio: tall" y "usage rights: free to use or share, even comercially" (por ejemplo, https://www.google.es/search?as_st=y&tbm=isch&hl=en&as_q=chaos+theory&as_epq=&as_oq=&as_eq=&cr=&as_sitesearch=&safe=images&tbs=iar:t,sur:fc )							
								
	Para coger emojis:	https://unicode.org/emoji/charts/full-emoji-list.html						
								
								
	Respuesta correcta	Respuesta 2	Respuesta 3	Comentario 1	Comentario 2	Comentario 3	Imagen	Notas sobre la pregunta
								
Física								
¿Qué interacciones conservan la simetría de paridad (se comportan igual que su imagen especular)?	Todas menos la débil	Las interacciones nucleares fuertes	Todas menos la electromagnética	El equipo dirigido por la física Chien-Shiung Wu descubrió en 1957 que las interacciones débiles violan la simetría de paridad, estudiando la desintegración beta del cobalto-60.	Las interacciones débiles no conservan la simetría de paridad, como demostró la física Chien-Shiung Wu en un famoso experimento sobre la desintegración beta del cobalto-60.	La interacción electromagnética conserva la paridad. Sin embargo la débil no lo hace.	wu.jpg	
¿Qué teorema asocia las simetrías de la acción con leyes de conservación?	El teorema de Noether	El teorema de Fermat	El teorema del virial	El teorema de Noether, demostrado por la matemática Emmy Noether en 1915, aclara el origen de leyes como la conservación de la energía, a partir de simetrías en las ecuaciones que describen un sistema.	El teorema de Noether, demostrado por la matemática Emmy Noether en 1915, aclara el origen de leyes como la conservación de la energía, a partir de simetrías en las ecuaciones que describen un sistema.	El teorema de Noether, demostrado por la matemática Emmy Noether en 1915, aclara el origen de leyes como la conservación de la energía, a partir de simetrías en las ecuaciones que describen un sistema.	Noether.jpg	
¿Quién es conocida como "la reina del carbón"? 👑	Mildred Dresselhaus	Cameron Howe	Jocelyn Bell	Dresselhaus fue la primera mujer catedrática del MIT. Se especializó en investigar la estructura del carbono y sus aplicaciones, incluyendo el potencial de la nanotecnología.	Dresselhaus fue la primera mujer catedrática del MIT. Se especializó en investigar la estructura del carbono y sus aplicaciones, incluyendo el potencial de la nanotecnología.	Dresselhaus fue la primera mujer catedrática del MIT. Se especializó en investigar la estructura del carbono y sus aplicaciones, incluyendo el potencial de la nanotecnología.	https://alum.mit.edu/sites/default/files/slice/uploads/2017/02/02-23-17_Millie-lego.png	
¿Qué es la fisión nuclear? ⚛	La división del núcleo en otros núcleos	La creación de un nuevo átomo por la unión de varios núcleos	El mecanismo por el que las estrellas producen energía	La fisión ocurre cuando un núcleo pesado se divide en dos o más núcleos más pequeños. La descubrieron Lisa Meitner y Otto Hahn. Solo Hahn se llevó el Nobel por ello. 	La fisión ocurre cuando un núcleo pesado se divide en dos o más núcleos más pequeños. La descubrieron Lisa Meitner y Otto Hahn. Solo Hahn se llevó el Nobel por ello. 	La fisión ocurre cuando un núcleo pesado se divide en dos o más núcleos más pequeños. La descubrieron Lisa Meitner y Otto Hahn. Solo Hahn se llevó el Nobel por ello. 	Lise Meitner Eva von Bahr.jpg	
¿Cuál de estos es un tipo de quark? 	Encantado	Honrado	Enamorado	Los quarks son partículas fundamentales y hay seis tipos distintos. Uno de ellos es el "encantado" (charm). Su descubrimiento fue posible en parte gracias al trabajo de la física Sau Lan Wu.	Los quarks son partículas fundamentales y hay seis tipos distintos. Uno de ellos es el "encantado" (charm). Su descubrimiento fue posible en parte gracias al trabajo de la física Sau Lan Wu.	Los quarks son partículas fundamentales y hay seis tipos distintos. Uno de ellos es el "encantado" (charm). Su descubrimiento fue posible en parte gracias al trabajo de la física Sau Lan Wu.	https://vq.vassar.edu/issues/2014/03/images/Sau-Lan-Wu-c.png	
¿Cuál de estos métodos se puede usar para detectar partículas?	Placas de emulsión nuclear	Cámaras de energía oscura	Neuralizadores	Marietta Blau y su estudiante Hertha Wambacher desarrollaron esta técnica de emulsión fotográfica y la utilizaron en el estudio de rayos cósmicos. Supuso un avance enorme en física de partículas. 	Marietta Blau y su estudiante Hertha Wambacher desarrollaron esta técnica de emulsión fotográfica y la utilizaron en el estudio de rayos cósmicos. Supuso un avance enorme en física de partículas. 	Marietta Blau y su estudiante Hertha Wambacher desarrollaron esta técnica de emulsión fotográfica y la utilizaron en el estudio de rayos cósmicos. Supuso un avance enorme en física de partículas. 	https://apod.nasa.gov/apod/image/0608/crshower2_nasa_big.jpg	
